id,latitude,longitude,elevation,name,category,ridge_id
hill-00119,43.912192928098705,40.885244607925415,1480,,regular,ridge_dzhentu
hill-00164,43.910245165188456,41.02026700973511,1471,,regular,ridge_dzhentu
hill-00242,43.85842829250478,40.96325397491455,1471,,regular,ridge_dzhentu
hill-00679,43.92446545962841,40.865299701690674,1469,,regular,ridge_dzhentu
hill-00562,43.898665481079206,41.01144790649414,1468,,regular,ridge_dzhentu
hill-00241,43.864276474947786,40.95726728439331,1462,,regular,ridge_dzhentu
hill-00163,43.9130353931007,41.0453724861145,1459,,regular,ridge_dzhentu
hill-00769,43.81097183839407,40.87584614753723,1454,,regular,ridge_dzhentu
hill-00574,44.03982537712366,41.11607551574707,1453,,regular,ridge_dzhentu
hill-00691,43.91249436190077,40.93454360961914,1451,,regular,ridge_dzhentu
hill-00240,43.86331728858559,40.97919702529907,1441,,regular,ridge_dzhentu
hill-00500,44.02972114521333,41.159827709198,1437,,regular,ridge_dzhentu
hill-00561,43.89895152176902,40.9699273109436,1430,,regular,ridge_dzhentu
hill-00530,44.031965821913104,41.04242205619812,1428,,regular,ridge_dzhentu
hill-00118,43.93487348797527,40.868786573410034,1426,,regular,ridge_dzhentu
hill-00692,44.03089363299537,41.01254224777222,1418,,regular,ridge_dzhentu
hill-00529,44.050806954322695,41.050318479537964,1416,,regular,ridge_dzhentu
hill-00116,43.9021133394655,40.87643623352051,1412,,regular,ridge_dzhentu
hill-00161,44.056243007011176,41.05991005897522,1412,,regular,ridge_dzhentu
hill-00159,43.89868867361875,41.030781269073486,1401,,regular,ridge_dzhentu
hill-00528,43.925717301035775,41.04443907737732,1401,,regular,ridge_dzhentu
hill-00117,43.937562125748826,40.88994383811951,1398,,regular,ridge_dzhentu
hill-00703,44.04499252447738,40.999571084976196,1391,,regular,ridge_dzhentu
hill-00501,44.04378175575076,41.13781213760376,1378,,regular,ridge_dzhentu
hill-00238,43.8786624183912,41.0384202003479,1361,,regular,ridge_dzhentu
hill-00087,44.05435393889107,41.101237535476685,1353,,regular,ridge_dzhentu
hill-00502,44.04077400660509,41.16226315498352,1352,,regular,ridge_dzhentu
hill-00498,44.04976595113888,41.12002372741699,1346,,regular,ridge_dzhentu
hill-00158,43.91350685913568,40.98453998565674,1342,,regular,ridge_dzhentu
hill-00705,44.03853737620025,41.00644826889038,1342,,regular,ridge_dzhentu
hill-00521,43.92264947002144,41.057034730911255,1338,,regular,ridge_dzhentu
hill-00115,43.89973232854871,40.826343297958374,1328,,regular,ridge_dzhentu
hill-00267,43.83029330561729,40.903215408325195,1321,,regular,ridge_dzhentu
hill-00519,43.92387816692684,41.00443124771118,1311,,regular,ridge_dzhentu
hill-00191,43.95539058918675,40.9185254573822,1310,,regular,ridge_dzhentu
hill-00522,44.02719867511067,41.08138918876648,1310,,regular,ridge_dzhentu
hill-00254,44.01040261339489,41.08211874961853,1305,,regular,ridge_dzhentu
hill-00190,43.91910233469889,40.92386841773987,1297,,regular,ridge_dzhentu
hill-00258,43.814316385942504,40.95523953437805,1288,,regular,ridge_dzhentu
hill-00114,43.90165724409809,40.85657715797424,1287,,regular,ridge_dzhentu
hill-00520,44.043774043768735,41.07045650482178,1286,,regular,ridge_dzhentu
hill-00459,43.917595317777256,40.98525881767273,1283,,regular,ridge_dzhentu
hill-00100,44.00328001731364,41.10800743103027,1277,,regular,ridge_dzhentu
hill-00715,44.027175532686186,41.02263808250427,1275,,regular,ridge_dzhentu
hill-00493,44.04872492965799,41.156888008117676,1271,,regular,ridge_dzhentu
hill-00494,44.05453899312451,41.127662658691406,1271,,regular,ridge_dzhentu
hill-00518,44.020510138418615,41.06261372566223,1267,,regular,ridge_dzhentu
hill-00257,43.80839362182246,40.94022989273071,1263,,regular,ridge_dzhentu
hill-00527,44.001844591053754,41.05095148086548,1248,,regular,ridge_dzhentu
hill-00682,44.00371989905369,41.12130045890808,1245,,regular,ridge_dzhentu
hill-00155,43.9470486463035,40.92599272727966,1240,,regular,ridge_dzhentu
hill-00465,43.929650384409484,40.99903464317322,1239,,regular,ridge_dzhentu
hill-00576,44.062449520820365,41.108479499816895,1238,,regular,ridge_dzhentu
hill-00157,43.92516093032924,41.07808470726013,1234,,regular,ridge_dzhentu
hill-00156,43.9351593546634,41.038527488708496,1232,,regular,ridge_dzhentu
hill-00525,44.02510039189576,40.98845601081848,1229,,regular,ridge_dzhentu
hill-00458,43.91608826268657,40.94387769699097,1228,,regular,ridge_dzhentu
hill-00090,43.97032592043138,41.09079837799072,1225,Шапка,regular,ridge_dzhentu
hill-00524,44.019499463443054,41.009345054626465,1220,,regular,ridge_dzhentu
hill-00113,43.92770319292606,40.90789318084717,1219,,regular,ridge_dzhentu
hill-00526,44.00936090030174,41.00119113922119,1218,,regular,ridge_dzhentu
hill-00112,43.97137604027159,40.92676520347595,1206,,regular,ridge_dzhentu
hill-00470,43.93752349675654,40.98092436790466,1204,,regular,ridge_dzhentu
hill-00461,43.920810241067755,40.998605489730835,1203,,regular,ridge_dzhentu
hill-00223,44.00413662611453,41.086517572402954,1199,,regular,ridge_dzhentu
hill-00462,43.92210079842744,40.94782590866089,1199,,regular,ridge_dzhentu
hill-00189,43.88197997381434,40.96023917198181,1189,,regular,ridge_dzhentu
hill-00256,43.814904759192444,40.926722288131714,1187,,regular,ridge_dzhentu
hill-00154,43.92024609642269,40.97303867340088,1183,,regular,ridge_dzhentu
hill-00575,44.062326167876705,41.138466596603394,1183,,regular,ridge_dzhentu
hill-00255,43.82979796148959,40.9319794178009,1182,,regular,ridge_dzhentu
hill-00099,43.9676155988692,41.10785722732544,1176,,regular,ridge_dzhentu
hill-00748,44.05678272969109,41.00244641304016,1167,,regular,ridge_dzhentu
hill-00523,43.93858964773193,40.999335050582886,1166,,regular,ridge_dzhentu
hill-00593,44.072617545182595,41.0459840297699,1164,,regular,ridge_dzhentu
hill-00152,44.080255904850475,41.070231199264526,1160,,regular,ridge_dzhentu
hill-00220,43.83772297420785,40.94355583190918,1160,,regular,ridge_dzhentu
